;	Merchant	NPC	Setup	File			


;	Bichon	Wall	NPC				
1Bme	0102	9	7	肉店老板	0	11	0
1Bme	0	313	271	屠夫	0	4	0

2Bwe	0103	19	18	武器店老板	0	1	0
;    2bwe	0			???			
2Bbl	0	302	219	铁匠铺老板	0	0	0

3Bdr	0106	19	6	服装店老板	0	7	0
3Drapers_shop1	0	330	270	老兵	0	1	0
;    3drapers_shop	0156			???			
4Bdu	0108	7	7	药店老板	0	1	0
4Bdu	0	324	291	药店老板娘	0	5	0
4Bdm	0109	4	8	炼毒老板	0	9	0

5Bbo	0104	5	8	书店老板	0	2	0
5Bichon_bookstore1	0	325	250	书店老板	0	2	0

6Bwh	0125	8	6	仓库员	0	9	0
6Bwh	0	301	257	仓库管理员	0	6	0

7Bst	0	378	298	杂货店老板	0	3	0

8Bri	0105	18	6	戒指店老板	0	4	0
8Bbr	0105	12	12	手套店老板	0	5	0
8Bne	0105	6	18	项链店老板	0	6	0



9teacher	0111	7	11	狂人	0	3	0
9snpc1	0	326	261	网络宣传员    	0	5	0


;	Ginko	Tree	Village				

4Gdu	0119	10	11	药店老板	0	1	0
4Gdm	0119	14	14	毒药老板	0	9	0
7Gst	0	643	611	杂货店老板	0	3	0
2Gwe	0	649	602	武器店	0	0	0
3Gdr	0	643	601	服装店	0	7	0
1Gme	0	649	591	肉店	0	11	0
6Gwh	0	621	642	仓库管理员	0	6	0
9helper	0	628	601	助手小姐	0	5	0


;	Border	Village					

4Tdu	0	291	610	药店杂货铺	0	1	0
2Twe	0	297	612	铁匠	0	0	0
1Tme	0	293	603	屠夫	0	11	0
3Tdr	0	305	607	衣服店老板	0	7	0
5Tbo	0132	5	18	书店老板	0	2	0
6Twh	0140	8	9	仓库员	0	9	
;    6Twh	0			???			
8Tri	0141	23	23	戒指店老板	0	4	0
8Tbr	0141	16	16	手套店老板	0	5	0
8Tne	0141	10	10	项链店老板	0	6	0
9helper	0	284	606	助手小姐	0	5	0


;	High	Level	Characters				
							
9Ehw	0114	14	9	高级战士	0	3	0
9Ehw	01141	14	9	高级战士	0	3	0
9Ehw	01142	11	10	高级战士	0	3	0
9Eht	0113	7	5	高级战士	0	3	0
9Eht	01132	11	10	高级战士	0	3	0
9Ewi	0115	5	11	高级法师	0	3	0
9Ewi	01152	11	10	高级法师	0	3	0


;	Woomyon	Woods	NPC				

2Wwe	1	314	72	武器店	0	0	0
4Wdu	1	309	81	药店	0	4	0
9Wqu	1	235	305	老人	0	9	0
9woomaoldman	1	96	290	高级武士	0	3	0
							
							
;	Oma	Caves	NPC				

6Ewh	D002	174	216	神秘老人	0	3	0
9Equ	D002	187	214	怪老	0	9	0
7Est	DM001	4	6	武器店	0	9	0
7Wicked_merchant1	DM011	4	6	杂货店	0	9	0


;	Serpent	Village	NPC				

2Swe	0120	7	8	武器店老板	0	0	0
2BlackSmith1	2	518	492	铁匠	0	0	0
4Sdu	0117	4	10	药店老板	0	1	0
4Serpent_valley_reagent_store1	2	505	497	药店伙计	0	1	0
7Sst	2	505	479	杂货店老板	0	3	0
3Sdr	2	517	477	衣服店老板	0	7	0
